Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate
5,11.05138124,0.2306519366,Organic,3.89046007,3,1
4,3.429315699,0.3910013339,Social,8.478174487,0,1
4,1.621052046,0.3979861065,Organic,9.636169627,2,1
5,3.629278955,0.1804576847,Organic,2.071924676,3,1
5,4.235843279,0.2915408735,Paid,1.96065383,5,1
3,4.54186782,0.420740049,Social,3.438711548,2,1
5,1.949558016,0.03497815702,Social,2.119271472,1,1
4,1.685739755,0.2523427596,Paid,3.478015701,5,1
6,0.03326803318,0.1207027706,Organic,5.28551908,1,1
7,7.833741755,0.2127268859,Paid,4.060115223,5,1
2,2.773784434,0.4857678223,Direct,2.973652787,3,1
5,0.6812812939,0.4538905516,Referral,1.499008557,0,1
5,7.562350901,0.2635519766,Social,9.688591918,0,1
6,7.392909563,0.2633359443,Paid,4.981015475,2,1
4,13.58023187,0.320588094,Paid,5.802188906,3,1
6,6.21576716,0.2966410058,Paid,10.02890318,2,1
6,18.3366796,0.337694551,Referral,2.984756678,0,1
1,0.8418659137,0.2493163814,Social,8.30362448,1,1
7,5.540223444,0.256684547,Paid,8.793492245,3,1
2,5.195296488,0.172977736,Paid,2.889980024,2,1
11,0.7877602686,0.251640726,Organic,11.69293807,5,1
4,0.3108778926,0.644309989,Organic,4.164912574,4,1
3,11.65038153,0.2873295685,Direct,6.025224139,1,1
8,1.053035393,0.1835897157,Organic,3.72750665,2,1
3,6.141313178,0.09314583953,Social,5.083885619,2,1
3,0.01240708465,0.1188282624,Referral,1.336264957,3,1
5,0.06374692836,0.05609412172,Social,7.05303439,1,1
8,1.881355422,0.01326416412,Direct,2.107742851,2,1
3,0.8182412065,0.1580981551,Referral,15.0222197,3,1
2,3.512013371,0.1350331065,Social,1.552828446,0,0.9630796689
5,2.501122171,0.1237309498,Organic,3.296032106,2,1
3,0.2419575224,0.4444082063,Referral,2.638993032,2,0.868593275
8,0.5324616499,0.250903219,Social,0.9660238146,2,1
10,1.473310519,0.213485799,Organic,9.004402387,1,1
3,0.61592587,0.07553622198,Referral,1.951268458,1,0.9722766323
2,4.713860245,0.6819301199,Social,3.869525945,4,1
5,1.613923709,0.3684717275,Social,1.687480629,1,0.8928560063
7,0.2942672728,0.1483101755,Organic,7.17173107,2,1
6,1.986939821,0.2303267172,Referral,2.992466163,0,1
6,0.285696546,0.4804925449,Organic,4.219468464,1,1
2,0.4141239742,0.266410874,Referral,3.279772549,1,0.9840040614
4,0.8217707956,0.1254543622,Paid,4.612913658,1,1
9,5.888235,0.2932490957,Paid,8.652438902,0,1
7,7.755342687,0.4608732858,Paid,3.300934784,1,1
11,5.250546843,0.2885054511,Organic,5.276812813,2,1
8,1.219744672,0.6132410978,Organic,3.061934986,0,1
3,0.9542029865,0.4013297363,Organic,1.425644129,1,0.9624936422
2,2.389899634,0.1894808144,Referral,4.23789787,2,1
3,3.838818316,0.1892654621,Social,1.593548073,2,1
4,15.0497133,0.03052514448,Organic,2.873870683,1,1
5,0.423207345,0.8449393803,Organic,0.7278104461,4,0.7492036585
5,0.1516449233,0.1892291636,Paid,3.97019724,2,1
4,3.556001669,0.1605296507,Referral,3.154549987,4,1
3,5.355408459,0.3861247355,Organic,3.834073321,1,1
8,5.619210148,0.3589295821,Organic,3.910938078,2,1
2,3.403933092,0.0482016689,Organic,4.879187494,4,1
1,9.238372528,0.5263555175,Organic,5.415281971,2,1
4,2.146207593,0.1592057388,Organic,14.33851631,5,1
5,7.353770371,0.2228967038,Organic,9.84027064,2,1
4,10.30849747,0.64639033,Referral,5.316899879,1,1
3,5.635041055,0.05417940232,Referral,2.769737315,1,1
4,1.112141503,0.2937539594,Organic,2.814258945,1,1
8,0.6552728059,0.2682410177,Referral,0.3706030515,2,0.9073492919
2,2.383016295,0.08311427673,Paid,1.586549521,1,0.6252939908
2,1.810000329,0.1580928536,Direct,3.079790782,2,1
2,6.305266175,0.24901885,Organic,4.219020148,4,1
7,0.3161871191,0.2342165416,Referral,18.23996376,2,1
6,0.8941673264,0.220051016,Referral,4.770245176,5,1
7,4.180548461,0.1036292298,Organic,5.464398173,3,1
6,0.2994167354,0.496233396,Direct,1.380698487,4,1
7,1.160361754,0.5398582919,Paid,2.253880627,1,1
6,1.468931618,0.1151879431,Referral,3.09611905,1,1
4,2.923299627,0.1713823163,Organic,0.9899936277,2,1
2,0.5163984409,0.1901883879,Organic,4.681621703,1,1
3,5.911319979,0.3238853887,Paid,1.962131629,3,1
4,1.780134878,0.2735038877,Organic,1.22331653,2,1
7,7.467528883,0.5093217487,Paid,6.36347233,0,1
4,1.892601889,0.1397961637,Organic,3.103389527,0,1
3,0.9649174657,0.4854521835,Referral,4.377897111,0,1
2,0.4588550971,0.3696186868,Paid,1.24304707,2,0.7967557425
6,0.01125637541,0.183126678,Organic,5.900334031,2,1
3,2.278870638,0.4759607165,Referral,5.027113599,1,1
5,0.340032558,0.3141586794,Paid,3.71491664,3,1
9,1.49139822,0.12497132,Organic,5.792328942,1,1
6,2.669470508,0.3970800939,Organic,2.260658974,2,0.8687610399
6,0.9675904099,0.2322428525,Organic,2.650401069,1,1
9,0.5779313974,0.6457106695,Organic,2.572884453,2,1
4,4.471255226,0.1471812207,Direct,0.79193609,2,1
9,8.800592886,0.2898801422,Paid,2.99751001,1,1
2,0.3175499658,0.1671402526,Organic,3.493775652,2,1
10,0.5073525135,0.2354840229,Organic,2.134253607,0,1
